encoding,dim,seed,mem_kb,val_acc,src_acc,geom_fid,acc_shift_6,acc_shift_12,acc_shift_18
proj,64,0,11.8,0.8686666488647461,0.8639999628067017,0.577209275615506,0.6343333125114441,0.40566664934158325,0.226666659116745
proj,128,0,23.5,0.9553333520889282,0.9546666741371155,0.6838829295548584,0.7726666331291199,0.4970000088214874,0.28700000047683716
proj,256,0,47.0,0.9760000109672546,0.9786666631698608,0.8035675154113987,0.8723333477973938,0.6013333201408386,0.3449999988079071
proj,512,0,94.0,0.9926666617393494,0.9866666793823242,0.8818290044635058,0.9196666479110718,0.7006666660308838,0.44699999690055847
proj,1024,0,188.0,0.9926666617393494,0.9940000176429749,0.9346309078970391,0.9206666350364685,0.6666666865348816,0.38733333349227905
proj,2048,0,376.0,0.9953333139419556,0.9943333268165588,0.9669684924700194,0.9333333373069763,0.6586666703224182,0.36800000071525574
proj,4096,0,752.0,0.9953333139419556,0.9946666359901428,0.9829070231842902,0.940666675567627,0.7009999752044678,0.4286666512489319
proj,10000,0,1835.9,0.9946666359901428,0.9950000047683716,0.9927323859055092,0.9473333358764648,0.7269999980926514,0.4386666715145111
proj,64,1,11.8,0.8673333525657654,0.8613333106040955,0.5638809806231866,0.625,0.3883333206176758,0.24566666781902313
proj,128,1,23.5,0.949999988079071,0.9543333053588867,0.7096991178852365,0.8143333196640015,0.5276666879653931,0.3140000104904175
proj,256,1,47.0,0.9860000014305115,0.9789999723434448,0.8038905247911553,0.8556666374206543,0.5846666693687439,0.3946666717529297
proj,512,1,94.0,0.9913333058357239,0.9913333058357239,0.8878818120410972,0.9016666412353516,0.593999981880188,0.32899999618530273
proj,1024,1,188.0,0.9973333477973938,0.9923332929611206,0.9387501478122557,0.9453333020210266,0.7273333072662354,0.5
proj,2048,1,376.0,0.9959999918937683,0.9940000176429749,0.9679252867366771,0.953666627407074,0.7493333220481873,0.5209999680519104
proj,4096,1,752.0,0.996666669845581,0.9956666827201843,0.9827332265480354,0.9580000042915344,0.7763333320617676,0.5663333535194397
proj,10000,1,1835.9,0.9973333477973938,0.9953333139419556,0.9929873310832891,0.9539999961853027,0.7526666522026062,0.5306666493415833
proj,64,2,11.8,0.8339999914169312,0.856333315372467,0.5730555854220215,0.6700000166893005,0.4113333225250244,0.29600000381469727
proj,128,2,23.5,0.9599999785423279,0.9676666855812073,0.6907886012049796,0.7976666688919067,0.5136666893959045,0.3006666600704193
proj,256,2,47.0,0.9826666712760925,0.9829999804496765,0.8081565267658477,0.8809999823570251,0.5920000076293945,0.3486666679382324
proj,512,2,94.0,0.9926666617393494,0.9926666617393494,0.8879315688030095,0.9073333144187927,0.5696666836738586,0.3343333303928375
proj,1024,2,188.0,0.9973333477973938,0.9950000047683716,0.9372390627400942,0.937666654586792,0.6949999928474426,0.4699999988079071
proj,2048,2,376.0,0.996666669845581,0.996999979019165,0.9667488477431012,0.950333297252655,0.7083333134651184,0.44699999690055847
proj,4096,2,752.0,0.996666669845581,0.9976666569709778,0.982693698180202,0.956333339214325,0.7506666779518127,0.5370000004768372
proj,10000,2,1835.9,0.9979999661445618,0.9973333477973938,0.9929729458524054,0.9583333134651184,0.7279999852180481,0.4909999966621399
id,64,0,12.2,0.17666666209697723,0.17266666889190674,0.12265614288348377,0.1366666704416275,0.08533333241939545,0.06533332914113998
id,128,0,24.5,0.382666677236557,0.3623333275318146,0.1862819559978412,0.2590000033378601,0.14166666567325592,0.09533333033323288
id,256,0,49.0,0.6733333468437195,0.6916666626930237,0.26137922025285004,0.43666666746139526,0.23799999058246613,0.13633333146572113
id,512,0,98.0,0.8659999966621399,0.8713333010673523,0.285943714842359,0.6299999952316284,0.34166666865348816,0.2136666625738144
id,1024,0,196.0,0.9473333358764648,0.9480000138282776,0.3486001659553011,0.7606666684150696,0.43066665530204773,0.24766665697097778
id,2048,0,392.0,0.984666645526886,0.9793333411216736,0.42037579421094246,0.8506666421890259,0.5360000133514404,0.3310000002384186
id,4096,0,784.0,0.9940000176429749,0.9900000095367432,0.4586233508338187,0.878333330154419,0.5659999847412109,0.3330000042915344
id,10000,0,1914.1,0.9959999918937683,0.9916666746139526,0.479353915904123,0.9073333144187927,0.6006666421890259,0.3646666705608368
id,64,1,12.2,0.1119999960064888,0.09833332896232605,0.0815118161202148,0.08366666734218597,0.053999997675418854,0.04766666516661644
id,128,1,24.5,0.40799999237060547,0.4103333353996277,0.17580758698021637,0.25866666436195374,0.13066665828227997,0.10300000011920929
id,256,1,49.0,0.6759999990463257,0.6643333435058594,0.24723679291172068,0.45633333921432495,0.2543333172798157,0.18533332645893097
id,512,1,98.0,0.8913333415985107,0.8786666393280029,0.2961383060667073,0.6586666703224182,0.3879999816417694,0.2529999911785126
id,1024,1,196.0,0.9559999704360962,0.9580000042915344,0.3605044279578976,0.7583333253860474,0.4753333330154419,0.3216666579246521
id,2048,1,392.0,0.9819999933242798,0.9826666712760925,0.4313497004504874,0.8666666746139526,0.6319999694824219,0.44333332777023315
id,4096,1,784.0,0.9839999675750732,0.9893333315849304,0.4380620730511261,0.8893333077430725,0.6380000114440918,0.44866666197776794
id,10000,1,1914.1,0.9953333139419556,0.9943333268165588,0.47942843431079246,0.9303333163261414,0.7176666855812073,0.512666642665863
