task,encoding,seed,threshold,model_type,dim,levels,quant_bits,mem_kb,compression_vs_baseline,val_acc,val_drop_vs_baseline,geom_fid,id_acc,acc_shift_6,acc_shift_12,acc_shift_18,avg_ood_acc,nmi,hungarian_acc,auroc
shift,proj,0,0.005,microhd,512,1024,8,47.0,39.06,0.9900000095367432,0.0047,0.8997256733876089,0.9856666326522827,0.8949999809265137,0.6420000195503235,0.42899999022483826,0.6553333302338918,,,
shift,proj,0,0.005,baseline,10000,1024,16,1835.9,1.0,0.9946666359901428,0.0,0.9936738913725071,0.9950000047683716,0.9473333358764648,0.7269999980926514,0.4386666715145111,0.7043333351612091,,,
shift,proj,0,0.01,microhd,512,1024,3,17.6,104.17,0.9893333315849304,0.0053,0.9033310761093994,0.9886666536331177,0.9153333306312561,0.65666663646698,0.4000000059604645,0.6573333243529002,,,
shift,proj,0,0.01,baseline,10000,1024,16,1835.9,1.0,0.9946666359901428,0.0,0.9936738913725071,0.9950000047683716,0.9473333358764648,0.7269999980926514,0.4386666715145111,0.7043333351612091,,,
shift,proj,0,0.05,microhd,128,1024,3,4.4,416.67,0.9466666579246521,0.048,0.7216072743168214,0.9543333053588867,0.7693333029747009,0.4339999854564667,0.257999986410141,0.48711109161376953,,,
shift,proj,0,0.05,baseline,10000,1024,16,1835.9,1.0,0.9946666359901428,0.0,0.9936738913725071,0.9950000047683716,0.9473333358764648,0.7269999980926514,0.4386666715145111,0.7043333351612091,,,
shift,proj,1,0.005,microhd,512,1024,4,23.5,78.12,0.9926666617393494,0.0047,0.9053025789986073,0.9913333058357239,0.9289999604225159,0.7016666531562805,0.49266666173934937,0.707777758439382,,,
shift,proj,1,0.005,baseline,10000,1024,16,1835.9,1.0,0.9973333477973938,0.0,0.9945336765738964,0.9953333139419556,0.9539999961853027,0.7526666522026062,0.5306666493415833,0.7457777659098307,,,
shift,proj,1,0.01,microhd,512,1024,3,17.6,104.17,0.9913333058357239,0.006,0.9046280990718217,0.9909999966621399,0.9233333468437195,0.6840000152587891,0.46666666865348816,0.6913333435853323,,,
shift,proj,1,0.01,baseline,10000,1024,16,1835.9,1.0,0.9973333477973938,0.0,0.9945336765738964,0.9953333139419556,0.9539999961853027,0.7526666522026062,0.5306666493415833,0.7457777659098307,,,
shift,proj,1,0.05,microhd,128,1024,3,4.4,416.67,0.9599999785423279,0.0373,0.7432065233174956,0.9599999785423279,0.8413333296775818,0.6089999675750732,0.42933332920074463,0.6265555421511332,,,
shift,proj,1,0.05,baseline,10000,1024,16,1835.9,1.0,0.9973333477973938,0.0,0.9945336765738964,0.9953333139419556,0.9539999961853027,0.7526666522026062,0.5306666493415833,0.7457777659098307,,,
