task,encoding,threshold,model_type,seed,dim,levels,quant_bits,mem_kb,compression_vs_baseline,val_acc,val_drop_vs_baseline,geom_fid,id_acc,acc_shift_6,acc_shift_12,acc_shift_18,avg_ood_acc,nmi,hungarian_acc,auroc
novel,id,0.005,baseline,1.0,10000.0,1024.0,16.0,1601.5999999999997,1.0,1.0,0.0,0.49940222042852794,0.9716666539510092,,,,,0.8930200379110089,0.8975555555555556,0.7782880952380952
novel,id,0.005,microhd,1.0,512.0,4.0,8.0,11.199999999999998,142.36,0.999047597249349,0.0009333333333333333,0.3592474301299729,0.7852380871772766,,,,,0.35347827183819897,0.5066666666666667,0.640096507936508
novel,id,0.01,baseline,1.0,10000.0,1024.0,16.0,1601.5999999999997,1.0,1.0,0.0,0.49940222042852794,0.9716666539510092,,,,,0.8930200379110089,0.8975555555555556,0.7782880952380952
novel,id,0.01,microhd,1.0,512.0,5.333333333333333,6.0,9.6,167.14666666666668,0.9914285739262899,0.008566666666666667,0.33332405808196597,0.7719047466913859,,,,,0.4497825994119337,0.6217777777777778,0.6405729365079366
novel,id,0.05,baseline,1.0,10000.0,1024.0,16.0,1601.5999999999997,1.0,1.0,0.0,0.49940222042852794,0.9716666539510092,,,,,0.8930200379110089,0.8975555555555556,0.7782880952380952
novel,id,0.05,microhd,1.0,512.0,4.0,6.0,9.5,168.59,0.9871428608894348,0.012833333333333334,0.34628321471384077,0.7695237994194031,,,,,0.3779628002955376,0.5402222222222223,0.6387357936507937
novel,proj,0.005,baseline,1.0,10000.0,1024.0,16.0,1523.4000000000003,1.0,1.0,0.0,0.9938271213372677,0.9797618985176086,,,,,0.9638170427121678,0.9848888888888889,0.9840765079365079
novel,proj,0.005,microhd,1.0,128.0,1024.0,7.333333333333333,8.966666666666667,173.61,0.9976190328598022,0.0024,0.7159928229565303,0.9135714173316956,,,,,0.7870126483193026,0.8977777777777778,0.9156454761904761
novel,proj,0.01,baseline,1.0,10000.0,1024.0,16.0,1523.4000000000003,1.0,1.0,0.0,0.9938271213372677,0.9797618985176086,,,,,0.9638170427121678,0.9848888888888889,0.9840765079365079
novel,proj,0.01,microhd,1.0,128.0,1024.0,6.666666666666667,8.133333333333333,190.97000000000003,0.9961904684702555,0.003833333333333333,0.7136799521570634,0.9071428378423055,,,,,0.7954194911397733,0.9022222222222221,0.916998253968254
novel,proj,0.05,baseline,1.0,10000.0,1024.0,16.0,1523.4000000000003,1.0,1.0,0.0,0.9938271213372677,0.9797618985176086,,,,,0.9638170427121678,0.9848888888888889,0.9840765079365079
novel,proj,0.05,microhd,1.0,128.0,1024.0,3.6666666666666665,4.5,347.22333333333336,0.965238074461619,0.03473333333333333,0.713924234664392,0.9061904748280843,,,,,0.8075398993612399,0.9093333333333332,0.9247837301587302
shift,id,0.005,baseline,1.0,10000.0,1024.0,16.0,1914.0999999999997,1.0,0.9948888818422953,0.0,0.5239085445967909,0.9933333396911621,0.9171110987663269,0.6318888862927755,0.3951111038525899,0.6480370296372308,,,
shift,id,0.005,microhd,1.0,8032.0,16.0,2.3333333333333335,142.26666666666668,14.973333333333334,0.9924444357554117,0.0024333333333333334,0.5030706291275532,0.989888866742452,0.9068888624509176,0.6166666547457377,0.3831111093362172,0.6355555421776242,,,
shift,id,0.01,baseline,1.0,10000.0,1024.0,16.0,1914.0999999999997,1.0,0.9948888818422953,0.0,0.5239085445967909,0.9933333396911621,0.9171110987663269,0.6318888862927755,0.3951111038525899,0.6480370296372308,,,
shift,id,0.01,microhd,1.0,4096.0,26.666666666666668,2.6666666666666665,85.33333333333333,22.546666666666667,0.9871110916137695,0.007766666666666667,0.476625250065786,0.9885555505752563,0.88655553261439,0.5844444433848063,0.36133333047231037,0.6107777688238356,,,
shift,id,0.05,baseline,1.0,10000.0,1024.0,16.0,1914.0999999999997,1.0,0.9948888818422953,0.0,0.5239085445967909,0.9933333396911621,0.9171110987663269,0.6318888862927755,0.3951111038525899,0.6480370296372308,,,
shift,id,0.05,microhd,1.0,1024.0,16.0,4.0,25.0,76.56,0.9535555442174276,0.04133333333333333,0.40114748583558546,0.9565555453300476,0.7771110932032267,0.45988888541857403,0.2792222152153651,0.505407397945722,,,
shift,proj,0.005,baseline,1.0,10000.0,1024.0,16.0,1835.9000000000003,1.0,0.9966666499773661,0.0,0.9942825130784202,0.995888888835907,0.9532222151756287,0.7358888785044352,0.48677777250607807,0.725296288728714,,,
shift,proj,0.005,microhd,1.0,682.6666666666666,1024.0,5.333333333333333,39.166666666666664,52.080000000000005,0.9922222296396891,0.0044666666666666665,0.91769474246343,0.9914444287618002,0.918999969959259,0.6738888820012411,0.45366665720939636,0.6821851697232989,,,
shift,proj,0.01,baseline,1.0,10000.0,1024.0,16.0,1835.9000000000003,1.0,0.9966666499773661,0.0,0.9942825130784202,0.995888888835907,0.9532222151756287,0.7358888785044352,0.48677777250607807,0.725296288728714,,,
shift,proj,0.01,microhd,1.0,512.0,1024.0,3.0,17.6,104.17,0.9904444217681885,0.0062,0.9042448074217598,0.9905555446942648,0.9233333269755045,0.6707777778307596,0.433777779340744,0.6759629613823361,,,
shift,proj,0.05,baseline,1.0,10000.0,1024.0,16.0,1835.9000000000003,1.0,0.9966666499773661,0.0,0.9942825130784202,0.995888888835907,0.9532222151756287,0.7358888785044352,0.48677777250607807,0.725296288728714,,,
shift,proj,0.05,microhd,1.0,128.0,1024.0,3.0,4.4,416.67,0.9539999961853027,0.042666666666666665,0.7352809632947737,0.9566666483879089,0.8094444274902344,0.5383333067099253,0.35455554723739624,0.567444427145852,,,
