task,encoding,seed,threshold,iteration,param,from_value,to_value,accepted,val_acc,val_drop,mem_kb_before,mem_kb_after
shift,proj,0,0.005,1,dim,10000,512,True,0.9926666617393494,0.001999974250793457,1835.9375,94.0
shift,proj,0,0.005,2,dim,512,128,False,0.9553333520889282,0.0393332839012146,94.0,23.5
shift,proj,0,0.005,3,quant_bits,16,4,False,0.9893333315849304,0.005333304405212402,94.0,23.5
shift,proj,0,0.005,4,dim,512,256,False,0.9760000109672546,0.018666625022888184,94.0,47.0
shift,proj,0,0.005,5,quant_bits,16,8,True,0.9900000095367432,0.004666626453399658,94.0,47.0
shift,proj,0,0.005,6,quant_bits,8,3,False,0.9893333315849304,0.005333304405212402,47.0,17.625
shift,proj,0,0.005,7,quant_bits,8,4,False,0.9893333315849304,0.005333304405212402,47.0,23.5
shift,proj,0,0.005,8,quant_bits,8,6,False,0.9879999756813049,0.006666660308837891,47.0,35.25
shift,proj,0,0.01,1,dim,10000,512,True,0.9926666617393494,0.001999974250793457,1835.9375,94.0
shift,proj,0,0.01,2,dim,512,128,False,0.9553333520889282,0.0393332839012146,94.0,23.5
shift,proj,0,0.01,3,quant_bits,16,4,True,0.9893333315849304,0.005333304405212402,94.0,23.5
shift,proj,0,0.01,4,dim,512,256,False,0.9806666374206543,0.013999998569488525,23.5,11.75
shift,proj,0,0.01,5,quant_bits,4,2,False,0.918666660785675,0.07599997520446777,23.5,11.75
shift,proj,0,0.01,6,quant_bits,4,3,True,0.9893333315849304,0.005333304405212402,23.5,17.625
shift,proj,0,0.01,7,quant_bits,3,2,False,0.918666660785675,0.07599997520446777,17.625,11.75
shift,proj,0,0.05,1,dim,10000,512,True,0.9926666617393494,0.001999974250793457,1835.9375,94.0
shift,proj,0,0.05,2,dim,512,128,True,0.9553333520889282,0.0393332839012146,94.0,23.5
shift,proj,0,0.05,3,quant_bits,16,4,True,0.9546666741371155,0.039999961853027344,23.5,5.875
shift,proj,0,0.05,4,dim,128,64,False,0.8426666855812073,0.15199995040893555,5.875,2.9375
shift,proj,0,0.05,5,quant_bits,4,2,False,0.4593333303928375,0.5353333055973053,5.875,2.9375
shift,proj,0,0.05,6,quant_bits,4,3,True,0.9466666579246521,0.04799997806549072,5.875,4.40625
shift,proj,0,0.05,7,quant_bits,3,2,False,0.4593333303928375,0.5353333055973053,4.40625,2.9375
shift,proj,1,0.005,1,dim,10000,512,False,0.9913333058357239,0.006000041961669922,1835.9375,94.0
shift,proj,1,0.005,2,dim,10000,2048,True,0.9959999918937683,0.0013333559036254883,1835.9375,376.0
shift,proj,1,0.005,3,dim,2048,256,False,0.9860000014305115,0.011333346366882324,376.0,47.0
shift,proj,1,0.005,4,dim,2048,512,False,0.9913333058357239,0.006000041961669922,376.0,94.0
shift,proj,1,0.005,5,quant_bits,16,4,True,0.9946666359901428,0.0026667118072509766,376.0,94.0
shift,proj,1,0.005,6,dim,2048,1024,True,0.9959999918937683,0.0013333559036254883,94.0,47.0
shift,proj,1,0.005,7,dim,1024,128,False,0.9586666822433472,0.03866666555404663,47.0,5.875
shift,proj,1,0.005,8,dim,1024,256,False,0.9793333411216736,0.018000006675720215,47.0,11.75
shift,proj,1,0.005,9,dim,1024,512,True,0.9926666617393494,0.004666686058044434,47.0,23.5
shift,proj,1,0.005,10,dim,512,128,False,0.9586666822433472,0.03866666555404663,23.5,5.875
shift,proj,1,0.005,11,dim,512,256,False,0.9793333411216736,0.018000006675720215,23.5,11.75
shift,proj,1,0.005,12,quant_bits,4,2,False,0.843999981880188,0.1533333659172058,23.5,11.75
shift,proj,1,0.005,13,quant_bits,4,3,False,0.9913333058357239,0.006000041961669922,23.5,17.625
shift,proj,1,0.01,1,dim,10000,512,True,0.9913333058357239,0.006000041961669922,1835.9375,94.0
shift,proj,1,0.01,2,dim,512,128,False,0.949999988079071,0.047333359718322754,94.0,23.5
shift,proj,1,0.01,3,quant_bits,16,4,True,0.9926666617393494,0.004666686058044434,94.0,23.5
shift,proj,1,0.01,4,dim,512,256,False,0.9793333411216736,0.018000006675720215,23.5,11.75
shift,proj,1,0.01,5,quant_bits,4,2,False,0.843999981880188,0.1533333659172058,23.5,11.75
shift,proj,1,0.01,6,quant_bits,4,3,True,0.9913333058357239,0.006000041961669922,23.5,17.625
shift,proj,1,0.01,7,quant_bits,3,2,False,0.843999981880188,0.1533333659172058,17.625,11.75
shift,proj,1,0.05,1,dim,10000,512,True,0.9913333058357239,0.006000041961669922,1835.9375,94.0
shift,proj,1,0.05,2,dim,512,128,True,0.949999988079071,0.047333359718322754,94.0,23.5
shift,proj,1,0.05,3,quant_bits,16,4,True,0.9586666822433472,0.03866666555404663,23.5,5.875
shift,proj,1,0.05,4,dim,128,64,False,0.8186666369438171,0.17866671085357666,5.875,2.9375
shift,proj,1,0.05,5,quant_bits,4,2,False,0.19599999487400055,0.8013333529233932,5.875,2.9375
shift,proj,1,0.05,6,quant_bits,4,3,True,0.9599999785423279,0.03733336925506592,5.875,4.40625
shift,proj,1,0.05,7,quant_bits,3,2,False,0.19599999487400055,0.8013333529233932,4.40625,2.9375
shift,proj,2,0.005,1,dim,10000,512,False,0.9926666617393494,0.005333304405212402,1835.9375,94.0
shift,proj,2,0.005,2,dim,10000,2048,True,0.996666669845581,0.0013332962989807129,1835.9375,376.0
shift,proj,2,0.005,3,dim,2048,256,False,0.9826666712760925,0.015333294868469238,376.0,47.0
shift,proj,2,0.005,4,dim,2048,512,False,0.9926666617393494,0.005333304405212402,376.0,94.0
shift,proj,2,0.005,5,quant_bits,16,4,True,0.9959999918937683,0.001999974250793457,376.0,94.0
shift,proj,2,0.005,6,dim,2048,1024,True,0.9940000176429749,0.003999948501586914,94.0,47.0
shift,proj,2,0.005,7,dim,1024,128,False,0.95333331823349,0.04466664791107178,47.0,5.875
shift,proj,2,0.005,8,dim,1024,256,False,0.9839999675750732,0.013999998569488525,47.0,11.75
shift,proj,2,0.005,9,dim,1024,512,False,0.9886666536331177,0.009333312511444092,47.0,23.5
shift,proj,2,0.005,10,quant_bits,4,2,False,0.8946666717529297,0.10333329439163208,47.0,23.5
shift,proj,2,0.005,11,quant_bits,4,3,False,0.9926666617393494,0.005333304405212402,47.0,35.25
shift,proj,2,0.01,1,dim,10000,512,True,0.9926666617393494,0.005333304405212402,1835.9375,94.0
shift,proj,2,0.01,2,dim,512,128,False,0.9599999785423279,0.03799998760223389,94.0,23.5
shift,proj,2,0.01,3,quant_bits,16,4,True,0.9886666536331177,0.009333312511444092,94.0,23.5
shift,proj,2,0.01,4,dim,512,256,False,0.9839999675750732,0.013999998569488525,23.5,11.75
shift,proj,2,0.01,5,quant_bits,4,2,False,0.9760000109672546,0.02199995517730713,23.5,11.75
shift,proj,2,0.01,6,quant_bits,4,3,True,0.9906666278839111,0.007333338260650635,23.5,17.625
shift,proj,2,0.01,7,quant_bits,3,2,False,0.9760000109672546,0.02199995517730713,17.625,11.75
shift,proj,2,0.05,1,dim,10000,512,True,0.9926666617393494,0.005333304405212402,1835.9375,94.0
shift,proj,2,0.05,2,dim,512,128,True,0.9599999785423279,0.03799998760223389,94.0,23.5
shift,proj,2,0.05,3,quant_bits,16,4,True,0.95333331823349,0.04466664791107178,23.5,5.875
shift,proj,2,0.05,4,dim,128,64,False,0.8413333296775818,0.15666663646697998,5.875,2.9375
shift,proj,2,0.05,5,quant_bits,4,2,False,0.38066667318344116,0.6173332929611206,5.875,2.9375
shift,proj,2,0.05,6,quant_bits,4,3,True,0.9553333520889282,0.042666614055633545,5.875,4.40625
shift,proj,2,0.05,7,quant_bits,3,2,False,0.38066667318344116,0.6173332929611206,4.40625,2.9375
shift,id,0,0.005,1,dim,10000,512,False,0.8659999966621399,0.12999999523162842,1914.0625,98.0
shift,id,0,0.005,2,dim,10000,2048,False,0.984666645526886,0.011333346366882324,1914.0625,392.0
shift,id,0,0.005,3,levels,1024,32,True,0.9953333139419556,0.0006666779518127441,1914.0625,703.125
shift,id,0,0.005,4,quant_bits,16,4,True,0.9940000176429749,0.001999974250793457,703.125,263.671875
shift,id,0,0.005,5,dim,10000,4096,False,0.9893333315849304,0.006666660308837891,263.671875,108.0
shift,id,0,0.005,6,quant_bits,4,2,True,0.9926666617393494,0.0033333301544189453,263.671875,190.4296875
shift,id,0,0.005,7,levels,32,8,False,0.9819999933242798,0.013999998569488525,190.4296875,161.1328125
shift,id,0,0.005,8,levels,32,16,True,0.9919999837875366,0.0040000081062316895,190.4296875,170.8984375
shift,id,0,0.005,9,levels,16,4,False,0.862666666507721,0.13333332538604736,170.8984375,156.25
shift,id,0,0.005,10,levels,16,8,False,0.9819999933242798,0.013999998569488525,170.8984375,161.1328125
shift,id,0,0.01,1,dim,10000,512,False,0.8659999966621399,0.12999999523162842,1914.0625,98.0
shift,id,0,0.01,2,dim,10000,2048,False,0.984666645526886,0.011333346366882324,1914.0625,392.0
shift,id,0,0.01,3,levels,1024,32,True,0.9953333139419556,0.0006666779518127441,1914.0625,703.125
shift,id,0,0.01,4,quant_bits,16,4,True,0.9940000176429749,0.001999974250793457,703.125,263.671875
shift,id,0,0.01,5,dim,10000,4096,True,0.9893333315849304,0.006666660308837891,263.671875,108.0
shift,id,0,0.01,6,dim,4096,256,False,0.4753333330154419,0.5206666588783264,108.0,6.75
shift,id,0,0.01,7,dim,4096,1024,False,0.9546666741371155,0.04133331775665283,108.0,27.0
shift,id,0,0.01,8,dim,4096,2048,False,0.9819999933242798,0.013999998569488525,108.0,54.0
shift,id,0,0.01,9,quant_bits,4,2,False,0.9786666631698608,0.01733332872390747,108.0,78.0
shift,id,0,0.01,10,quant_bits,4,3,True,0.9879999756813049,0.008000016212463379,108.0,93.0
shift,id,0,0.01,11,quant_bits,3,2,False,0.9786666631698608,0.01733332872390747,93.0,78.0
shift,id,0,0.01,12,levels,32,8,False,0.9773333072662354,0.01866668462753296,93.0,81.0
shift,id,0,0.01,13,levels,32,16,False,0.9853333234786987,0.01066666841506958,93.0,85.0
shift,id,0,0.05,1,dim,10000,512,False,0.8659999966621399,0.12999999523162842,1914.0625,98.0
shift,id,0,0.05,2,dim,10000,2048,True,0.984666645526886,0.011333346366882324,1914.0625,392.0
shift,id,0,0.05,3,dim,2048,256,False,0.6733333468437195,0.32266664505004883,392.0,49.0
shift,id,0,0.05,4,dim,2048,512,False,0.8659999966621399,0.12999999523162842,392.0,98.0
shift,id,0,0.05,5,levels,1024,32,True,0.9839999675750732,0.012000024318695068,392.0,144.0
shift,id,0,0.05,6,quant_bits,16,4,True,0.9819999933242798,0.013999998569488525,144.0,54.0
shift,id,0,0.05,7,dim,2048,1024,True,0.9546666741371155,0.04133331775665283,54.0,27.0
shift,id,0,0.05,8,dim,1024,128,False,0.06933332979679108,0.9266666620969772,27.0,3.375
shift,id,0,0.05,9,dim,1024,256,False,0.4753333330154419,0.5206666588783264,27.0,6.75
shift,id,0,0.05,10,dim,1024,512,False,0.8560000061988831,0.13999998569488525,27.0,13.5
shift,id,0,0.05,11,quant_bits,4,2,False,0.8813333511352539,0.1146666407585144,27.0,19.5
shift,id,0,0.05,12,quant_bits,4,3,False,0.9333333373069763,0.06266665458679199,27.0,23.25
shift,id,0,0.05,13,levels,32,8,False,0.9440000057220459,0.05199998617172241,27.0,24.0
shift,id,0,0.05,14,levels,32,16,True,0.9519999623298645,0.04400002956390381,27.0,25.0
shift,id,0,0.05,15,levels,16,4,False,0.9113333225250244,0.0846666693687439,25.0,23.5
shift,id,0,0.05,16,levels,16,8,False,0.9440000057220459,0.05199998617172241,25.0,24.0
shift,id,1,0.005,1,dim,10000,512,False,0.8913333415985107,0.10399997234344482,1914.0625,98.0
shift,id,1,0.005,2,dim,10000,2048,False,0.9819999933242798,0.013333320617675781,1914.0625,392.0
