task,seed,stage,knob,value,mem_kb,compression_vs_fp,geom_fid,val_acc,id_acc,acc_shift_6,acc_shift_12,acc_shift_18,avg_ood_acc,nmi,hungarian_acc,auroc
shift,0,none,baseline,fp32,3671.9,1.0,0.9930068909724743,0.996666669845581,0.9946666359901428,0.9449999928474426,0.718666672706604,0.4286666512489319,0.6974444389343262,,,
shift,0,D,rank,8,1486.4,2.47,0.3843140994382452,0.359333336353302,0.3700000047683716,0.2473333328962326,0.1536666601896286,0.10066666454076767,0.16722221920887628,,,
shift,0,D,rank,16,1800.9,2.04,0.5348984606385127,0.6100000143051147,0.6200000047683716,0.3933333158493042,0.23266667127609253,0.12799999117851257,0.2513333261013031,,,
shift,0,D,rank,24,2115.4,1.74,0.6423798767332051,0.7986666560173035,0.8063333034515381,0.609333336353302,0.3463333249092102,0.17033332586288452,0.3753333290417989,,,
shift,0,D,rank,32,2429.9,1.51,0.7325772627515342,0.8759999871253967,0.8886666297912598,0.7160000205039978,0.4476666748523712,0.23666666448116302,0.4667777866125107,,,
shift,0,D,rank,48,3058.9,1.2,0.8601884174956604,0.972000002861023,0.9726666808128357,0.8656666278839111,0.5910000205039978,0.33500000834465027,0.597222218910853,,,
shift,0,D,rank,64,3687.9,1.0,0.9930066414053587,0.996666669845581,0.9946666359901428,0.9449999928474426,0.718666672706604,0.4286666512489319,0.6974444389343262,,,
shift,0,D,rank_rand,8,1486.4,2.47,0.3762351291778379,0.3946666717529297,0.3889999985694885,0.24799999594688416,0.15433333814144135,0.10599999874830246,0.16944444427887598,,,
shift,0,D,rank_rand,16,1800.9,2.04,0.47967423380999497,0.6060000061988831,0.6003333330154419,0.41499999165534973,0.25200000405311584,0.1616666615009308,0.27622221906979877,,,
shift,0,D,rank_rand,24,2115.4,1.74,0.5353185578383084,0.7379999756813049,0.7306666374206543,0.4673333168029785,0.22633333504199982,0.1326666623353958,0.2754444380601247,,,
shift,0,D,rank_rand,32,2429.9,1.51,0.5856354807540186,0.8059999942779541,0.8053333163261414,0.562666654586792,0.2823333442211151,0.1743333339691162,0.3397777775923411,,,
shift,0,D,rank_rand,48,3058.9,1.2,0.6683430136913239,0.8893333077430725,0.8996666669845581,0.6953333020210266,0.390666663646698,0.22866666316986084,0.4382222096125285,,,
shift,0,D,rank_rand,64,3687.9,1.0,0.7382858711508723,0.9340000152587891,0.9403333067893982,0.750333309173584,0.4216666519641876,0.22833332419395447,0.466777761777242,,,
shift,0,D,rank_rand_retrain,8,1486.4,2.47,0.3762351291778379,0.31066665053367615,0.281333327293396,0.20999999344348907,0.14499999582767487,0.1119999960064888,0.1556666617592176,,,
shift,0,D,rank_rand_retrain,16,1800.9,2.04,0.47967423380999497,0.6486666798591614,0.643666684627533,0.4440000057220459,0.27533334493637085,0.20499999821186066,0.30811111629009247,,,
shift,0,D,rank_rand_retrain,24,2115.4,1.74,0.5353185578383084,0.8173333406448364,0.8053333163261414,0.5766666531562805,0.3123333156108856,0.18133333325386047,0.3567777673403422,,,
shift,0,D,rank_rand_retrain,32,2429.9,1.51,0.5856354807540186,0.8693333268165588,0.878333330154419,0.6463333368301392,0.33166664838790894,0.1693333387374878,0.38244444131851196,,,
shift,0,D,rank_rand_retrain,48,3058.9,1.2,0.6683430136913239,0.9239999651908875,0.9293333292007446,0.7339999675750732,0.4076666533946991,0.24199999868869781,0.46122220655282337,,,
shift,0,D,rank_rand_retrain,64,3687.9,1.0,0.7382858711508723,0.9480000138282776,0.9576666355133057,0.7820000052452087,0.4463333189487457,0.2356666624546051,0.48799999554951984,,,
shift,0,P,keep_frac,0.05,183.6,20.0,0.8882691229276988,0.9839999675750732,0.9883333444595337,0.8843333125114441,0.5450000166893005,0.26366665959358215,0.5643333295981089,,,
shift,0,P,keep_frac,0.1,367.2,10.0,0.9405894538829854,0.9933333396911621,0.9916666746139526,0.9236666560173035,0.6626666784286499,0.390666663646698,0.6589999993642172,,,
shift,0,P,keep_frac,0.2,734.4,5.0,0.9667199954898028,0.9959999918937683,0.9946666359901428,0.9246666431427002,0.6513333320617676,0.3449999988079071,0.6403333246707916,,,
shift,0,P,keep_frac,0.3,1101.6,3.33,0.9780478840119877,0.9959999918937683,0.9940000176429749,0.9359999895095825,0.6933333277702332,0.39533331990242004,0.6748888790607452,,,
