task,seed,stage,config,mem_kb,compression_vs_fp,geom_fid,val_acc,id_acc,acc_shift_6,acc_shift_12,acc_shift_18,avg_ood_acc,nmi,hungarian_acc,auroc
shift,0,DPQ,r64-k1-b4,461.0,7.97,0.9930066414053587,0.996666669845581,0.9946666359901428,0.9449999928474426,0.7183333039283752,0.42933332920074463,0.6975555419921875,,,
shift,0,DPQ,r64-k0.5-b3,173.6,21.15,0.9866695758889893,0.9953333139419556,0.9950000047683716,0.9436666369438171,0.7113333344459534,0.41600000858306885,0.6903333266576132,,,
shift,0,DPQ,r32-k0.3-b3,68.9,53.32,0.7265876354821622,0.8779999613761902,0.8819999694824219,0.6959999799728394,0.4309999942779541,0.22233332693576813,0.4497777670621872,,,
shift,0,DPQ,r16-k0.2-b3,34.1,107.79,0.5302515833292536,0.590666651725769,0.6056666374206543,0.3720000088214874,0.19733333587646484,0.10833333432674408,0.22588889300823212,,,
shift,0,DPQ,r8-k0.1-b2,9.4,390.53,0.3803854465728179,0.3386666774749756,0.3540000021457672,0.23600000143051147,0.14366666972637177,0.08566666394472122,0.15511111170053482,,,
shift,1,DPQ,r64-k1-b4,461.0,7.97,0.9932581425255291,0.996666669845581,0.9959999918937683,0.9556666612625122,0.753333330154419,0.5336666703224182,0.7475555539131165,,,
shift,1,DPQ,r64-k0.5-b3,173.6,21.15,0.9866016377850301,0.996666669845581,0.9950000047683716,0.9509999752044678,0.7429999709129333,0.5216666460037231,0.7385555307070414,,,
shift,1,DPQ,r32-k0.3-b3,68.9,53.32,0.7303746347660364,0.9020000100135803,0.8996666669845581,0.6980000138282776,0.41466665267944336,0.2536666691303253,0.45544444521268207,,,
shift,1,DPQ,r16-k0.2-b3,34.1,107.79,0.498740921580981,0.593999981880188,0.5849999785423279,0.40166667103767395,0.21066667139530182,0.15299999713897705,0.25511111319065094,,,
shift,1,DPQ,r8-k0.1-b2,9.4,390.53,0.3584303207417053,0.3033333420753479,0.29100000858306885,0.2070000022649765,0.13233333826065063,0.10066666454076767,0.14666666835546494,,,
shift,2,DPQ,r64-k1-b4,461.0,7.97,0.9933940748528239,0.996666669845581,0.9979999661445618,0.9526666402816772,0.7283333539962769,0.47966665029525757,0.7202222148577372,,,
shift,2,DPQ,r64-k0.5-b3,173.6,21.15,0.9872246354749843,0.996666669845581,0.996999979019165,0.9516666531562805,0.7319999933242798,0.4906666576862335,0.7247777680555979,,,
shift,2,DPQ,r32-k0.3-b3,68.9,53.32,0.7177565937191596,0.8659999966621399,0.8683333396911621,0.6793333292007446,0.44466665387153625,0.2823333442211151,0.46877777576446533,,,
shift,2,DPQ,r16-k0.2-b3,34.1,107.79,0.5166135748453025,0.5326666831970215,0.54666668176651,0.34833332896232605,0.2173333317041397,0.14666666090488434,0.23744444052378336,,,
shift,2,DPQ,r8-k0.1-b2,9.4,390.53,0.3806811917361548,0.2980000078678131,0.2953333258628845,0.24400000274181366,0.17233332991600037,0.13866665959358215,0.18499999741713205,,,
novel,0,DPQ,r64-k1-b4,382.9,7.96,0.9932735823618551,1.0,0.9692857265472412,,,,,0.9693487237872219,0.9866666666666667,0.9841128571428571
novel,0,DPQ,r64-k0.5-b3,144.3,21.11,0.9870423377488623,0.991428554058075,0.970714271068573,,,,,0.9714379357881948,0.988,0.9839038095238095
novel,0,DPQ,r32-k0.3-b3,51.3,59.41,0.7155759025279409,0.8242856860160828,0.8464285731315613,,,,,0.7602008740261313,0.8786666666666667,0.8938845238095239
novel,0,DPQ,r16-k0.2-b3,22.3,136.34,0.5125997921526774,0.595714271068573,0.6035714149475098,,,,,0.39535224206567215,0.5633333333333334,0.7811740476190476
novel,0,DPQ,r8-k0.1-b2,5.5,554.37,0.3501572402749691,0.34857141971588135,0.3678571283817291,,,,,0.24818142002945753,0.4166666666666667,0.6789290476190476
novel,1,DPQ,r64-k1-b4,382.9,7.96,0.9934175608104678,1.0,0.9764285683631897,,,,,0.971855438932606,0.988,0.9814511904761904
novel,1,DPQ,r64-k0.5-b3,144.3,21.11,0.9870141861915758,0.9942857027053833,0.9735714197158813,,,,,0.9708905184427243,0.9866666666666667,0.9810776190476191
novel,1,DPQ,r32-k0.3-b3,51.3,59.41,0.7403470734491947,0.8557142615318298,0.8614285588264465,,,,,0.799105652332743,0.902,0.8891921428571429
novel,1,DPQ,r16-k0.2-b3,22.3,136.34,0.5234579175403268,0.5514285564422607,0.5478571653366089,,,,,0.3583855921111191,0.542,0.7197680952380952
novel,1,DPQ,r8-k0.1-b2,5.5,554.37,0.37354000587815384,0.3171428442001343,0.3335714340209961,,,,,0.1829753506395618,0.31133333333333335,0.6261052380952381
novel,2,DPQ,r64-k1-b4,382.9,7.96,0.9935156858324729,1.0,0.9878571033477783,,,,,0.9552693375663871,0.9813333333333333,0.9862230952380954
novel,2,DPQ,r64-k0.5-b3,144.3,21.11,0.9873040077676866,0.9928571581840515,0.9878571033477783,,,,,0.9593884771317847,0.9833333333333333,0.98514
novel,2,DPQ,r32-k0.3-b3,51.3,59.41,0.7330856319431714,0.8728571534156799,0.8385714292526245,,,,,0.5628898602094842,0.7306666666666667,0.8609678571428572
novel,2,DPQ,r16-k0.2-b3,22.3,136.34,0.5198772249485542,0.5828571319580078,0.5942857265472412,,,,,0.3073301497939279,0.4786666666666667,0.6905995238095238
novel,2,DPQ,r8-k0.1-b2,5.5,554.37,0.36636508004904217,0.39142856001853943,0.4000000059604645,,,,,0.1635277941230316,0.31666666666666665,0.6015342857142858
