seed,rank,variant,input_nmi,nmi,hungarian_acc
0,8,row,1.0,1.0,1.0
0,8,nullspace,1.0,0.005053096584509904,0.19111111111111112
0,8,input,0.9962726641888647,0.9962726641888647,
0,16,row,0.9962726641888647,0.9962726641888647,0.9988888888888889
0,16,nullspace,1.0,0.00896537421328603,0.2
0,16,input,1.0,1.0,
0,32,row,1.0,1.0,1.0
0,32,nullspace,1.0,0.011175173897351677,0.21
0,32,input,1.0,1.0,
0,48,row,1.0,1.0,1.0
0,48,nullspace,1.0,0.011034365179784114,0.21333333333333335
0,48,input,1.0,1.0,
0,64,row,1.0,0.9962726641888647,0.9988888888888889
0,64,input,1.0,1.0,
1,8,row,0.9962726641888647,1.0,1.0
1,8,nullspace,1.0,0.0063543626394972266,0.2
1,8,input,1.0,1.0,
1,16,row,0.9962726641888647,0.9962726641888647,0.9988888888888889
1,16,nullspace,1.0,0.008613802271572678,0.1988888888888889
1,16,input,1.0,1.0,
1,32,row,1.0,1.0,1.0
1,32,nullspace,1.0,0.01047887691716559,0.21666666666666667
1,32,input,1.0,1.0,
1,48,row,0.9014705874409901,1.0,1.0
1,48,nullspace,1.0,0.006262862371763571,0.20222222222222222
1,48,input,1.0,1.0,
1,64,row,1.0,1.0,1.0
1,64,input,1.0,1.0,
2,8,row,1.0,1.0,1.0
2,8,nullspace,1.0,0.005995205473045149,0.19666666666666666
2,8,input,1.0,1.0,
2,16,row,1.0,1.0,1.0
2,16,nullspace,1.0,0.01093040626308895,0.2088888888888889
2,16,input,1.0,1.0,
2,32,row,1.0,1.0,1.0
2,32,nullspace,1.0,0.007564753252240677,0.20333333333333334
2,32,input,1.0,1.0,
2,48,row,1.0,1.0,1.0
2,48,nullspace,1.0,0.008215574585602604,0.19777777777777777
2,48,input,1.0,1.0,
2,64,row,1.0,1.0,1.0
2,64,input,1.0,1.0,
