seed,rank,r_over_f,visible_frac,avg_ood_acc
0,8,0.125,0.1276283752415006,0.16722221920887628
0,16,0.25,0.18375095873147984,0.2513333261013031
0,24,0.375,0.24992827095580683,0.3753333290417989
0,32,0.5,0.3037867826146936,0.4667777866125107
0,48,0.75,0.6319882557726011,0.597222218910853
0,64,1.0,1.0000090599265263,0.6974444389343262
1,8,0.125,0.11721405623121939,0.15388888865709305
1,16,0.25,0.2477387889222804,0.2651111036539078
1,24,0.375,0.43034032485522644,0.3542222132285436
1,32,0.5,0.6820029377253753,0.46577778458595276
1,48,0.75,0.8024104306292088,0.6703333258628845
1,64,1.0,1.0000100136053902,0.7485555410385132
2,8,0.125,0.075684400535593,0.18377777437369028
2,16,0.25,0.25706190318659594,0.2383333295583725
2,24,0.375,0.4041866968422916,0.3692222287257512
2,32,0.5,0.5609058425717741,0.46877776583035785
2,48,0.75,0.7401887089656931,0.6236666639645895
2,64,1.0,1.0000100136053902,0.7203333377838135
