model,k,n,eps,keep_frac,mem_kb,mem_frac,geom_fid,val_acc,id_acc,acc_shift_6,acc_shift_12,acc_shift_18,avg_ood_acc,task,seed,margin_id,margin_ood,nmi,hungarian_acc,auroc
baseline,,,,1.0,1171.9,1.0,0.9930068909724743,0.996666669845581,0.9946666359901428,0.9449999928474426,0.718666672706604,0.4286666512489319,0.6974444389343262,shift,0,,,,,
loghd,2,5,0,,195.9,0.1672,0.9930068909724743,0.4273333251476288,0.4309999942779541,0.3346666693687439,0.24666666984558105,0.18299999833106995,0.2547777791817983,shift,0,-0.007501115091145039,-0.015402825238804022,,,
feataxis,2,5,0,0.1672,195.9,0.1672,0.96121692088439,0.9946666359901428,0.9943333268165588,0.9269999861717224,0.6506666541099548,0.35066667199134827,0.6427777707576752,shift,0,,,,,
loghd,2,6,1,,235.1,0.2006,0.9930068909724743,0.5019999742507935,0.5136666893959045,0.37566664814949036,0.2526666522026062,0.17000000178813934,0.266111100713412,shift,0,-0.003296749433502555,-0.017446196638047695,,,
feataxis,2,6,1,0.2006,235.1,0.2006,0.966892216441763,0.9959999918937683,0.9943333268165588,0.9253333210945129,0.6526666879653931,0.3449999988079071,0.6410000026226044,shift,0,,,,,
loghd,2,7,2,,274.3,0.234,0.9930068909724743,0.5339999794960022,0.546999990940094,0.4113333225250244,0.2523333430290222,0.17233332991600037,0.2786666651566823,shift,0,-0.0026051378808915615,-0.0210152097667257,,,
feataxis,2,7,2,0.234,274.2,0.234,0.9713678570364606,0.9953333139419556,0.9946666359901428,0.9333333373069763,0.6650000214576721,0.35366666316986084,0.6506666739781698,shift,0,,,,,
loghd,3,4,0,,156.7,0.1337,0.9930068909724743,0.3186666667461395,0.3426666557788849,0.21799999475479126,0.1483333259820938,0.11433333158493042,0.16022221744060516,shift,0,-0.008093700744211674,-0.019452545481423538,,,
feataxis,3,4,0,0.1337,156.7,0.1337,0.9535084943221287,0.9946666359901428,0.9940000176429749,0.922333300113678,0.6496666669845581,0.3646666705608368,0.6455555458863577,shift,0,,,,,
loghd,3,5,1,,195.9,0.1672,0.9930068909724743,0.41999998688697815,0.4156666696071625,0.28166666626930237,0.17999999225139618,0.11833333224058151,0.19333333025376,shift,0,-0.005479630548506975,-0.02145889215171337,,,
feataxis,3,5,1,0.1672,195.9,0.1672,0.96121692088439,0.9946666359901428,0.9943333268165588,0.9269999861717224,0.6506666541099548,0.35066667199134827,0.6427777707576752,shift,0,,,,,
loghd,3,6,2,,235.1,0.2006,0.9930068909724743,0.5260000228881836,0.5243332982063293,0.3306666612625122,0.19599999487400055,0.12266666442155838,0.2164444401860237,shift,0,6.267186108743772e-05,-0.03137271789213022,,,
feataxis,3,6,2,0.2006,235.1,0.2006,0.966892216441763,0.9959999918937683,0.9943333268165588,0.9253333210945129,0.6526666879653931,0.3449999988079071,0.6410000026226044,shift,0,,,,,
baseline,,,,1.0,1171.9,1.0,0.9932579613387403,0.996666669845581,0.9959999918937683,0.9566666483879089,0.7553333044052124,0.5336666703224182,0.7485555410385132,shift,1,,,,,
loghd,2,5,0,,195.9,0.1672,0.9932579613387403,0.4646666646003723,0.4496666491031647,0.33399999141693115,0.20733332633972168,0.13966666162014008,0.22699999312559763,shift,1,-0.0048099299892783165,-0.018540184944868088,,,
feataxis,2,5,0,0.1672,195.9,0.1672,0.961668913131935,0.9973333477973938,0.9953333139419556,0.9316666722297668,0.6850000023841858,0.45366665720939636,0.690111110607783,shift,1,,,,,
loghd,2,6,1,,235.1,0.2006,0.9932579613387403,0.5046666860580444,0.4883333146572113,0.3386666774749756,0.19499999284744263,0.13500000536441803,0.2228888918956121,shift,1,-0.0018540483433753252,-0.029979739648600418,,,
feataxis,2,6,1,0.2006,235.1,0.2006,0.9679279346722911,0.996666669845581,0.9946666359901428,0.9369999766349792,0.7053333520889282,0.4713333249092102,0.7045555512110392,shift,1,,,,,
loghd,2,7,2,,274.3,0.234,0.9932579613387403,0.5460000038146973,0.5699999928474426,0.3919999897480011,0.23199999332427979,0.15333333611488342,0.25911110639572144,shift,1,0.003210432128980756,-0.023472122848033905,,,
feataxis,2,7,2,0.234,274.2,0.234,0.9719219209188266,0.996666669845581,0.9929999709129333,0.937999963760376,0.7080000042915344,0.47566667199134827,0.7072222133477529,shift,1,,,,,
