seed,C,model,k,n,val_acc,avg_ood_acc
0,5,baseline,,,1.0,0.9420000513394674
0,5,loghd,2,3,0.984000027179718,0.793333371480306
0,5,loghd,3,2,0.8720000386238098,0.549333373705546
0,12,baseline,,,0.9983333349227905,0.6361111203829447
0,12,loghd,2,4,0.7566666603088379,0.33888888359069824
0,12,loghd,3,3,0.5049999952316284,0.16527778655290604
0,20,baseline,,,0.9970000386238098,0.8053333759307861
0,20,loghd,2,5,0.5260000228881836,0.320000022649765
0,20,loghd,3,3,0.29500001668930054,0.18183334171772003
0,30,baseline,,,0.996666669845581,0.6974444389343262
0,30,loghd,2,5,0.4273333251476288,0.2547777791817983
0,30,loghd,3,4,0.3186666667461395,0.16022221744060516
1,5,baseline,,,1.0,0.9666667183240255
1,5,loghd,2,3,0.8800000548362732,0.629333366950353
1,5,loghd,3,2,0.7760000228881836,0.5786666969458262
1,12,baseline,,,1.0,0.6705555816491445
1,12,loghd,2,4,0.6600000262260437,0.4441666801770528
1,12,loghd,3,3,0.5600000023841858,0.3469444513320923
1,20,baseline,,,1.0,0.6318333745002747
1,20,loghd,2,5,0.5649999976158142,0.19816667834917703
1,20,loghd,3,3,0.42100003361701965,0.16083334386348724
1,30,baseline,,,0.996666669845581,0.7485555410385132
1,30,loghd,2,5,0.4646666646003723,0.22699999312559763
1,30,loghd,3,4,0.35333332419395447,0.20144444207350412
2,5,baseline,,,1.0,0.9133333762486776
2,5,loghd,2,3,0.8960000276565552,0.6573333541552225
2,5,loghd,3,2,0.7280000448226929,0.4753333628177643
2,12,baseline,,,1.0,0.8350000182787577
2,12,loghd,2,4,0.6833333373069763,0.23527778188387552
2,12,loghd,3,3,0.49666666984558105,0.1633333365122477
2,20,baseline,,,0.9980000257492065,0.865000049273173
2,20,loghd,2,5,0.5670000314712524,0.2741666833559672
2,20,loghd,3,3,0.3400000035762787,0.1418333426117897
2,30,baseline,,,0.9973333477973938,0.7203333377838135
2,30,loghd,2,5,0.4560000002384186,0.23866666853427887
2,30,loghd,3,4,0.3346666693687439,0.12222221990426381
