seed,spread,model,val_acc
0,0.7,baseline,0.996666669845581
0,0.7,loghd,0.4273333251476288
0,1.0,baseline,1.0
0,1.0,loghd,0.6426666378974915
0,1.5,baseline,1.0
0,1.5,loghd,0.8740000128746033
0,2.5,baseline,1.0
0,2.5,loghd,0.9919999837875366
1,0.7,baseline,0.996666669845581
1,0.7,loghd,0.4646666646003723
1,1.0,baseline,1.0
1,1.0,loghd,0.6819999814033508
1,1.5,baseline,1.0
1,1.5,loghd,0.8899999856948853
1,2.5,baseline,1.0
1,2.5,loghd,0.9893333315849304
2,0.7,baseline,0.9973333477973938
2,0.7,loghd,0.4560000002384186
2,1.0,baseline,1.0
2,1.0,loghd,0.6759999990463257
2,1.5,baseline,1.0
2,1.5,loghd,0.8886666297912598
2,2.5,baseline,1.0
2,2.5,loghd,0.9826666712760925
